"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"1960","European Union - 27 countries (from 2020)","Total","Females","Number",":",""
"1960","European Union - 28 countries (2013-2020)","Total","Females","Number",":",""
"1960","European Union - 27 countries (2007-2013)","Total","Females","Number",":",""
"1960","Euro area - 19 countries  (from 2015)","Total","Females","Number",":",""
"1960","Euro area - 18 countries (2014)","Total","Females","Number",":",""
"1960","Belgium","Total","Females","Number","4,650,891",""
"1960","Bulgaria","Total","Females","Number","3,921,043",""
"1960","Czechia","Total","Females","Number","4,941,152",""
"1960","Denmark","Total","Females","Number","2,300,897",""
"1960","Germany (until 1990 former territory of the FRG)","Total","Females","Number","29,345,361",""
"1960","Germany including former GDR","Total","Females","Number","38,856,574",""
"1960","Estonia","Total","Females","Number","674,328",""
"1960","Ireland","Total","Females","Number","1,406,500",""
"1960","Greece","Total","Females","Number","4,285,115",""
"1960","Spain","Total","Females","Number","15,495,960",""
"1960","France","Total","Females","Number",":",""
"1960","France (metropolitan)","Total","Females","Number","23,418,186",""
"1960","Croatia","Total","Females","Number",":",""
"1960","Italy","Total","Females","Number","25,526,600",""
"1960","Cyprus","Total","Females","Number",":",""
"1960","Latvia","Total","Females","Number",":",""
"1960","Lithuania","Total","Females","Number",":",""
"1960","Luxembourg","Total","Females","Number","158,478",""
"1960","Hungary","Total","Females","Number","5,157,001",""
"1960","Malta","Total","Females","Number",":",""
"1960","Netherlands","Total","Females","Number","5,731,102",""
"1960","Austria","Total","Females","Number","3,757,167",""
"1960","Poland","Total","Females","Number","15,253,800",""
"1960","Portugal","Total","Females","Number","4,603,250",""
"1960","Romania","Total","Females","Number",":",""
"1960","Slovenia","Total","Females","Number",":",""
"1960","Slovakia","Total","Females","Number","2,028,234",""
"1960","Finland","Total","Females","Number","2,288,381",""
"1960","Sweden","Total","Females","Number","3,743,575",""
"1960","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Total","Females","Number",":",""
"1960","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Total","Females","Number",":",""
"1960","European Free Trade Association","Total","Females","Number","4,614,773",""
"1960","Iceland","Total","Females","Number","86,082",""
"1960","Liechtenstein","Total","Females","Number","8,342",""
"1960","Norway","Total","Females","Number","1,789,949",""
"1960","Switzerland","Total","Females","Number","2,730,400",""
"1960","United Kingdom","Total","Females","Number","27,000,000",""
"1960","Montenegro","Total","Females","Number",":",""
"1960","North Macedonia","Total","Females","Number",":",""
"1960","Albania","Total","Females","Number",":",""
"1960","Serbia","Total","Females","Number",":",""
"1960","Turkey","Total","Females","Number","13,288,710",""
"1960","Andorra","Total","Females","Number",":",""
"1960","Belarus","Total","Females","Number",":",""
"1960","Bosnia and Herzegovina","Total","Females","Number",":",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Females","Number",":",""
"1960","Moldova","Total","Females","Number",":",""
"1960","Monaco","Total","Females","Number",":",""
"1960","Russia","Total","Females","Number",":",""
"1960","San Marino","Total","Females","Number",":",""
"1960","Ukraine","Total","Females","Number",":",""
"1960","Armenia","Total","Females","Number",":",""
"1960","Azerbaijan","Total","Females","Number",":",""
"1960","Georgia","Total","Females","Number",":",""
"1961","European Union - 27 countries (from 2020)","Total","Females","Number",":",""
"1961","European Union - 28 countries (2013-2020)","Total","Females","Number",":",""
"1961","European Union - 27 countries (2007-2013)","Total","Females","Number",":",""
"1961","Euro area - 19 countries  (from 2015)","Total","Females","Number",":",""
"1961","Euro area - 18 countries (2014)","Total","Females","Number",":",""
"1961","Belgium","Total","Females","Number","4,680,332",""
"1961","Bulgaria","Total","Females","Number","3,958,593",""
"1961","Czechia","Total","Females","Number","4,928,244",""
"1961","Denmark","Total","Females","Number","2,315,982",""
"1961","Germany (until 1990 former territory of the FRG)","Total","Females","Number","29,630,616",""
"1961","Germany including former GDR","Total","Females","Number","39,013,830",""
"1961","Estonia","Total","Females","Number","677,929",""
"1961","Ireland","Total","Females","Number","1,402,600",""
"1961","Greece","Total","Females","Number","4,293,142",""
"1961","Spain","Total","Females","Number","15,626,760",""
"1961","France","Total","Females","Number",":",""
"1961","France (metropolitan)","Total","Females","Number","23,625,081",""
"1961","Croatia","Total","Females","Number",":",""
"1961","Italy","Total","Females","Number","25,705,200",""
"1961","Cyprus","Total","Females","Number","291,583",""
"1961","Latvia","Total","Females","Number",":",""
"1961","Lithuania","Total","Females","Number",":",""
"1961","Luxembourg","Total","Females","Number","159,408",""
"1961","Hungary","Total","Females","Number","5,177,816",""
"1961","Malta","Total","Females","Number",":",""
"1961","Netherlands","Total","Females","Number","5,801,779",""
"1961","Austria","Total","Females","Number","3,773,097",""
"1961","Poland","Total","Females","Number",":",""
"1961","Portugal","Total","Females","Number","4,634,976",""
"1961","Romania","Total","Females","Number",":",""
"1961","Slovenia","Total","Females","Number",":",""
"1961","Slovakia","Total","Females","Number","2,106,281",""
"1961","Finland","Total","Females","Number","2,303,959",""
"1961","Sweden","Total","Females","Number","3,757,848",""
"1961","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Total","Females","Number",":",""
"1961","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Total","Females","Number",":",""
"1961","European Free Trade Association","Total","Females","Number","4,662,794",""
"1961","Iceland","Total","Females","Number","87,714",""
"1961","Liechtenstein","Total","Females","Number","8,498",""
"1961","Norway","Total","Females","Number","1,803,627",""
"1961","Switzerland","Total","Females","Number","2,762,955",""
"1961","United Kingdom","Total","Females","Number","27,200,000",""
"1961","Montenegro","Total","Females","Number",":",""
"1961","North Macedonia","Total","Females","Number",":",""
"1961","Albania","Total","Females","Number",":",""
"1961","Serbia","Total","Females","Number",":",""
"1961","Turkey","Total","Females","Number","13,606,231",""
"1961","Andorra","Total","Females","Number",":",""
"1961","Belarus","Total","Females","Number",":",""
"1961","Bosnia and Herzegovina","Total","Females","Number",":",""
"1961","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Females","Number",":",""
"1961","Moldova","Total","Females","Number",":",""
"1961","Monaco","Total","Females","Number",":",""
"1961","Russia","Total","Females","Number",":",""
"1961","San Marino","Total","Females","Number",":",""
"1961","Ukraine","Total","Females","Number",":",""
"1961","Armenia","Total","Females","Number",":",""
"1961","Azerbaijan","Total","Females","Number",":",""
"1961","Georgia","Total","Females","Number",":",""
"1962","European Union - 27 countries (from 2020)","Total","Females","Number",":",""
"1962","European Union - 28 countries (2013-2020)","Total","Females","Number",":",""
"1962","European Union - 27 countries (2007-2013)","Total","Females","Number",":",""
"1962","Euro area - 19 countries  (from 2015)","Total","Females","Number",":",""
"1962","Euro area - 18 countries (2014)","Total","Females","Number",":",""
"1962","Belgium","Total","Females","Number","4,692,881",""
"1962","Bulgaria","Total","Females","Number","3,995,543",""
"1962","Czechia","Total","Females","Number","4,948,987",""
"1962","Denmark","Total","Females","Number","2,333,676",""
"1962","Germany (until 1990 former territory of the FRG)","Total","Females","Number","29,951,354",""
"1962","Germany including former GDR","Total","Females","Number","39,326,303",""
