"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"1960","European Union - 27 countries (from 2020)","Total","Males","Number",":",""
"1960","European Union - 28 countries (2013-2020)","Total","Males","Number",":",""
"1960","European Union - 27 countries (2007-2013)","Total","Males","Number",":",""
"1960","Euro area - 19 countries  (from 2015)","Total","Males","Number",":",""
"1960","Euro area - 18 countries (2014)","Total","Males","Number",":",""
"1960","Belgium","Total","Males","Number","4,477,933",""
"1960","Bulgaria","Total","Males","Number","3,908,203",""
"1960","Czechia","Total","Males","Number","4,696,688",""
"1960","Denmark","Total","Males","Number","2,264,558",""
"1960","Germany (until 1990 former territory of the FRG)","Total","Males","Number","25,911,727",""
"1960","Germany including former GDR","Total","Males","Number","33,686,416",""
"1960","Estonia","Total","Males","Number","532,034",""
"1960","Ireland","Total","Males","Number","1,429,000",""
"1960","Greece","Total","Males","Number","4,015,284",""
"1960","Spain","Total","Males","Number","14,831,040",""
"1960","France","Total","Males","Number",":",""
"1960","France (metropolitan)","Total","Males","Number","22,046,611",""
"1960","Croatia","Total","Males","Number",":",""
"1960","Italy","Total","Males","Number","24,498,900",""
"1960","Cyprus","Total","Males","Number",":",""
"1960","Latvia","Total","Males","Number",":",""
"1960","Lithuania","Total","Males","Number",":",""
"1960","Luxembourg","Total","Males","Number","154,572",""
"1960","Hungary","Total","Males","Number","4,804,043",""
"1960","Malta","Total","Males","Number",":",""
"1960","Netherlands","Total","Males","Number","5,686,152",""
"1960","Austria","Total","Males","Number","3,273,218",""
"1960","Poland","Total","Males","Number","14,226,100",""
"1960","Portugal","Total","Males","Number","4,222,790",""
"1960","Romania","Total","Males","Number",":",""
"1960","Slovenia","Total","Males","Number",":",""
"1960","Slovakia","Total","Males","Number","1,941,448",""
"1960","Finland","Total","Males","Number","2,124,665",""
"1960","Sweden","Total","Males","Number","3,727,770",""
"1960","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Total","Males","Number",":",""
"1960","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Total","Males","Number",":",""
"1960","European Free Trade Association","Total","Males","Number","4,438,563",""
"1960","Iceland","Total","Males","Number","87,773",""
"1960","Liechtenstein","Total","Males","Number","7,932",""
"1960","Norway","Total","Males","Number","1,777,758",""
"1960","Switzerland","Total","Males","Number","2,565,100",""
"1960","United Kingdom","Total","Males","Number","25,200,000",""
"1960","Montenegro","Total","Males","Number",":",""
"1960","North Macedonia","Total","Males","Number",":",""
"1960","Albania","Total","Males","Number",":",""
"1960","Serbia","Total","Males","Number",":",""
"1960","Turkey","Total","Males","Number","13,831,252",""
"1960","Andorra","Total","Males","Number",":",""
"1960","Belarus","Total","Males","Number",":",""
"1960","Bosnia and Herzegovina","Total","Males","Number",":",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Males","Number",":",""
"1960","Moldova","Total","Males","Number",":",""
"1960","Monaco","Total","Males","Number",":",""
"1960","Russia","Total","Males","Number",":",""
"1960","San Marino","Total","Males","Number",":",""
"1960","Ukraine","Total","Males","Number",":",""
"1960","Armenia","Total","Males","Number",":",""
"1960","Azerbaijan","Total","Males","Number",":",""
"1960","Georgia","Total","Males","Number",":",""
"1961","European Union - 27 countries (from 2020)","Total","Males","Number",":",""
"1961","European Union - 28 countries (2013-2020)","Total","Males","Number",":",""
"1961","European Union - 27 countries (2007-2013)","Total","Males","Number",":",""
"1961","Euro area - 19 countries  (from 2015)","Total","Males","Number",":",""
"1961","Euro area - 18 countries (2014)","Total","Males","Number",":",""
"1961","Belgium","Total","Males","Number","4,497,822",""
"1961","Bulgaria","Total","Males","Number","3,946,909",""
"1961","Czechia","Total","Males","Number","4,637,928",""
"1961","Denmark","Total","Males","Number","2,277,768",""
"1961","Germany (until 1990 former territory of the FRG)","Total","Males","Number","26,327,705",""
"1961","Germany including former GDR","Total","Males","Number","34,072,979",""
"1961","Estonia","Total","Males","Number","538,783",""
